YEAR,TITLE,ABOUT
2025,Wallpaper,"50 of America’s Top Creatives, February 2025"
2025,Nordic Knots ,"Grand Volumes by Alexander May, March 2025"
2025,The London List,"Long form interview with Alexander May, September 2025"
2024,Purple,"Celebrating the Pierre Augustin Rose collaboration with Alexander May, October 2024"
2024,Wallpaper,"Alexander May, Founder of LA studio SIZED, on the joys of creative polymathy, July 2024"
2024,Wallpaper,"50 of America’s Top Creatives, photographed by Inez & Vinoodh, July 2024"
2023,Office,"Alexander May bonds with Dries Van Noten, April 2023"
2022,Artnet,"In Pictures: SIZED makes its New York debut with a knockout group show on Industrialism, May 2022"
2022,Purple,"Industrialism, a group exhibition curated by SIZED, New York City, May 2022"
2022,Surface,"SIZED: Industrialism, May 2022"
2022,W Magazine,"What not to miss during Frieze New York Week 2022, May 2022"
2022,Domino,"New York’s Design Week shows prove this millennial trend isn’t going anywhere, May 2022"
2022,Hypebeast,"“SIZED” celebrates the industrialisation of everyday objects, May 2022"
2022,Cultured,"How SIZED is setting the Los Angeles design world apart, February 2022"
2022,Wallpaper,"Frieze LA festivities kick off with a celebration of handcrafted vessels, February 2022"
2022,Interior Design,"SIZED exhibition in Los Angeles celebrates the poetic form of vessels, February 2022"
2022,PIN-UP,"At SIZED in Los Angeles, Vessels is a metaphor, February 2022"
2022,Surface,"Where to see stellar design at Frieze L.A., February 2022"
2022,Azure,"Vessels and lamps that stand out from the crowd, February 2022"
2022,Office,"Coinciding with Frieze LA 2022, February 2022"
2021,Wallpaper,"SIZED: an LA show dedicated to art, design and in-person experiences, June 2021"
2021,Vogue,"An intimate L.A. dinner to celebrate SIZED, a new exhibition of objects for the home and life, June 2021"
2021,Architectural Digest,"This L.A. show is ready to reignite the design scene, June 2021"
2021,Highsnobiety,"Luka Sabbat, Michèle Lamy & Sterling Ruby will make you excited about furniture again, June 2021"
2021,Hypebeast,"Sterling Ruby, Michèle Lamy and more present art objects in “SIZED” exhibition, June 2021"
2021,Office,"SIZED: a site-specific exhibition, June 2021"
2021,Interview,"The curator Alexander May is breathing new life into LA’s design scene, June 2021"
2021,W Magazine,"Michèle Lamy, No Sesso, and Sterling Ruby unite in a new exhibition, May 2021"